Link_ID in VISSIM,Length(km),Green_ratio,Lanes
3082,0.062,0.27,1
3355,0.061,0.36,1
3356,0.095,1.0,2
3357,0.165,1.0,2
3358,0.068,0.36,1
3359,0.261,0.36,1
3360,0.264,1.0,1
3406,0.072,0.36,1
3408,0.22,1.0,1
3584,0.14,1.0,3
3585,0.151,0.33,2
3586,0.151,0.17,1
3587,0.235,1.0,3
3588,0.497,1.0,3
3589,0.332,1.0,3
3590,0.152,0.17,1
3591,0.152,0.33,2
3592,0.167,1.0,3
3593,0.157,0.33,2
3594,0.155,0.17,1
3595,0.154,1.0,3
3596,0.499,1.0,3
3597,0.339,1.0,3
3598,0.159,0.33,2
3599,0.158,0.17,1
3600,0.075,1.0,3
3601,0.062,1.0,1
3602,0.061,1.0,1
3607,0.14,1.0,3
3608,0.151,0.33,2
3609,0.151,0.17,1
3610,0.242,1.0,3
3611,0.198,1.0,3
3612,0.064,1.0,3
3613,0.152,0.17,1
3614,0.152,0.33,2
3615,0.215,1.0,3
3616,0.157,0.33,2
3617,0.155,0.17,1
3618,0.231,1.0,3
3619,0.512,1.0,3
3620,0.348,1.0,3
3621,0.159,0.33,2
3622,0.158,0.17,1
3623,0.049,1.0,3
3624,0.062,1.0,1
3625,0.061,1.0,1
3630,0.14,1.0,3
3631,0.151,0.33,2
3632,0.151,0.17,1
3633,0.222,1.0,3
3634,0.194,1.0,3
3635,0.043,1.0,3
3636,0.152,0.17,1
3637,0.152,0.33,2
3638,0.173,1.0,3
3639,0.157,0.33,2
3640,0.155,0.17,1
3641,0.189,1.0,3
3642,0.194,1.0,3
3643,0.041,1.0,3
3644,0.159,0.33,2
3645,0.158,0.17,1
3646,0.08,1.0,3
3647,0.062,1.0,1
3648,0.061,1.0,1
3653,0.14,1.0,3
3654,0.151,0.33,2
3655,0.151,0.17,1
3656,0.231,1.0,3
3657,0.538,1.0,3
3658,0.368,1.0,3
3659,0.152,0.17,1
3660,0.152,0.33,2
3661,0.237,1.0,3
